Time	Date	Comp Inlet Press	Comp Exit Press	Turb Inlet Press	Turb Exit Press	Noss Exit Press	Fuel Flow	RPM	Thrust	Comp Inlet	Comp Exit Temp	Turb Inlet Temp	Turb Exit Temp	EGT	
		PSIG	PSIG	PSIG	PSIG	PSIG	Gal/Hour	RPM	Lbs.	°C	°C	°C	°C	°C	
10:51:20	3/8/2016	 4.707564e-001	 1.864437e+001	 1.849485e+001	 2.817301e+000	 2.015682e+000	 3.277533e+000	 6.982342e+004	 1.071579e+001	 2.357204e+001	 1.462287e+002	 7.446993e+002	 6.436355e+002	 5.304300e+002	
10:51:22	3/8/2016	 4.718719e-001	 1.854484e+001	 1.834246e+001	 2.736077e+000	 1.992549e+000	 3.275189e+000	 6.974333e+004	 1.058028e+001	 2.362138e+001	 1.504340e+002	 7.443085e+002	 6.435355e+002	 5.301779e+002	
10:51:25	3/8/2016	 4.647536e-001	 1.850576e+001	 1.828450e+001	 2.715634e+000	 1.983687e+000	 3.274232e+000	 6.972062e+004	 1.060113e+001	 2.360834e+001	 1.529876e+002	 7.446237e+002	 6.453063e+002	 5.313154e+002	
10:51:28	3/8/2016	 4.599102e-001	 1.851960e+001	 1.830120e+001	 2.732908e+000	 1.989130e+000	 3.274830e+000	 6.969889e+004	 1.065325e+001	 2.365287e+001	 1.547632e+002	 7.451996e+002	 6.469843e+002	 5.325372e+002	
10:51:31	3/8/2016	 4.484081e-001	 1.855483e+001	 1.834959e+001	 2.628906e+000	 1.912279e+000	 3.274830e+000	 6.963241e+004	 1.042392e+001	 2.353542e+001	 1.560734e+002	 7.467719e+002	 6.481647e+002	 5.387316e+002	
10:51:34	3/8/2016	 4.301158e-001	 1.860688e+001	 1.841360e+001	 2.715957e+000	 1.881143e+000	 3.275479e+000	 6.956647e+004	 1.025714e+001	 2.364622e+001	 1.572765e+002	 7.531232e+002	 6.514020e+002	 5.467909e+002	
10:51:37	3/8/2016	 4.441316e-001	 1.862712e+001	 1.841902e+001	 2.822348e+000	 1.888409e+000	 3.275207e+000	 6.965479e+004	 1.025714e+001	 2.380779e+001	 1.585996e+002	 7.567245e+002	 6.532372e+002	 5.520243e+002	
10:51:39	3/8/2016	 4.318736e-001	 1.852375e+001	 1.834100e+001	 2.884159e+000	 1.909280e+000	 3.271424e+000	 6.947738e+004	 1.029883e+001	 2.387808e+001	 1.593634e+002	 7.586055e+002	 6.560479e+002	 5.524771e+002	
10:51:42	3/8/2016	 4.373096e-001	 1.851241e+001	 1.830351e+001	 2.900756e+000	 1.921312e+000	 3.270853e+000	 6.945511e+004	 1.041350e+001	 2.393079e+001	 1.597711e+002	 7.553615e+002	 6.560780e+002	 5.511736e+002	
10:51:45	3/8/2016	 4.552948e-001	 1.849760e+001	 1.828200e+001	 2.932170e+000	 1.918112e+000	 3.269273e+000	 6.956591e+004	 1.054901e+001	 2.386352e+001	 1.599294e+002	 7.511926e+002	 6.534059e+002	 5.498953e+002	
10:51:48	3/8/2016	 4.580011e-001	 1.851357e+001	 1.828876e+001	 2.946816e+000	 1.896644e+000	 3.269124e+000	 6.960980e+004	 1.060113e+001	 2.371727e+001	 1.598339e+002	 7.444476e+002	 6.501173e+002	 5.493253e+002	
10:51:51	3/8/2016	 4.497674e-001	 1.850449e+001	 1.828584e+001	 2.936126e+000	 1.888738e+000	 3.267254e+000	 6.960991e+004	 1.056986e+001	 2.372861e+001	 1.599627e+002	 7.391434e+002	 6.472292e+002	 5.496082e+002	
10:51:54	3/8/2016	 4.502246e-001	 1.847346e+001	 1.822982e+001	 2.910154e+000	 1.869891e+000	 3.265271e+000	 6.958819e+004	 1.056986e+001	 2.379737e+001	 1.601724e+002	 7.366609e+002	 6.459185e+002	 5.491536e+002	
10:51:56	3/8/2016	 4.489263e-001	 1.845639e+001	 1.822318e+001	 2.895197e+000	 1.863960e+000	 3.263411e+000	 6.956613e+004	 1.055943e+001	 2.381629e+001	 1.604191e+002	 7.364542e+002	 6.460729e+002	 5.492605e+002	
10:51:59	3/8/2016	 4.543183e-001	 1.839794e+001	 1.818776e+001	 2.852957e+000	 1.849331e+000	 3.262366e+000	 6.952159e+004	 1.055943e+001	 2.385267e+001	 1.604396e+002	 7.336398e+002	 6.456012e+002	 5.496406e+002	
10:52:02	3/8/2016	 4.460773e-001	 1.838825e+001	 1.814918e+001	 2.848581e+000	 1.835946e+000	 3.262576e+000	 6.947738e+004	 1.061155e+001	 2.386610e+001	 1.604735e+002	 7.318402e+002	 6.448162e+002	 5.500062e+002	
10:52:05	3/8/2016	 4.476499e-001	 1.839471e+001	 1.815491e+001	 2.826023e+000	 1.828271e+000	 3.261980e+000	 6.947738e+004	 1.061155e+001	 2.383727e+001	 1.604890e+002	 7.300446e+002	 6.440503e+002	 5.497013e+002	
10:52:08	3/8/2016	 4.534515e-001	 1.837265e+001	 1.814960e+001	 2.817148e+000	 1.820987e+000	 3.260049e+000	 6.947760e+004	 1.060113e+001	 2.376443e+001	 1.606395e+002	 7.274260e+002	 6.430892e+002	 5.495153e+002	
10:52:11	3/8/2016	 4.523543e-001	 1.836162e+001	 1.813138e+001	 2.851025e+000	 1.817909e+000	 3.257890e+000	 6.947749e+004	 1.063240e+001	 2.367359e+001	 1.606641e+002	 7.277616e+002	 6.427047e+002	 5.495082e+002	
10:52:13	3/8/2016	 4.525993e-001	 1.832614e+001	 1.813040e+001	 2.821543e+000	 1.815477e+000	 3.259268e+000	 6.947749e+004	 1.055943e+001	 2.376282e+001	 1.608261e+002	 7.281243e+002	 6.432681e+002	 5.493386e+002	
